assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled
EQUITY,EQUITY,345370860,F,Ford Motor Company Common Stock,14.53,30700,P,14.54,700,P,14.48,0,N,14.445,14.575,14.27, ,14.48,0.0,65981221,1625875182388,1625875196662,14.48,n,NYSE,True,True,0.0236,2,16.455,5.74,0.0,14.6723,0.0,0.0,,Normal,14.48,16041,0.0,1625871600004,0.0,0.0,0.0,0.0,False,True
EQUITY,EQUITY,37045V100,GM,General Motors Company Common Stock,58.7,600,P,58.86,1000,P,58.76,0,N,58.8,58.92,57.885, ,58.76,0.0,24361344,1625875192763,1625875193825,58.76,n,NYSE,True,True,0.0156,2,64.3,23.33,0.0,9.5027,0.0,0.0,,Normal,58.76,6694,0.0,1625871600004,0.0,0.0,0.0,0.0,False,True
